Gyro_X,Gyro_Y,Time,Gesture,Type
-64.38,-9.44,450,73,L
-91.64,13.53,0,74,L
-45.74,-11.36,50,74,L
-104.05,-0.73,100,74,L
-52.96,-13.83,150,74,L
-73.71,-4.97,200,74,L
-49.19,-7.37,250,74,L
-64.16,-1.34,300,74,L
-56.06,-2.39,350,74,L
-206.96,-2.81,400,74,L
-119.97,-8.27,450,74,L
-45.12,14.35,0,75,L
-74.18,16.50,50,75,L
-71.95,14.11,100,75,L
-111.32,4.21,150,75,L
-112.51,22.23,200,75,L
-126.45,3.03,250,75,L
-94.80,1.81,300,75,L
-103.54,9.36,350,75,L
-55.11,-6.05,400,75,L
-86.09,-2.65,450,75,L
-47.92,-0.56,0,76,L
-125.42,-0.27,50,76,L
-110.13,7.59,100,76,L
-182.73,8.93,150,76,L
-98.41,-7.29,200,76,L
-123.92,-3.25,250,76,L
-109.56,-26.61,300,76,L
-125.02,-23.87,350,76,L
-117.45,-18.98,400,76,L
-99.64,-13.45,450,76,L
0.25,6.19,0,78,U
-10.94,2.20,50,78,U
-11.63,10.03,100,78,U
-7.15,2.65,150,78,U
-2.87,0.95,200,78,U
10.48,1.73,250,78,U
7.50,-0.13,300,78,U
3.55,-2.89,350,78,U
-9.16,4.69,400,78,U
-22.54,4.45,450,78,U
