Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
-9052,3756,15824,14912,18797,-16271,0,19,R
-6560,7056,19456,5766,-14987,-6405,50,19,R
-11928,2220,10288,12684,-17657,-8425,100,19,R
-11216,7124,12844,1533,-9353,-11332,150,19,R
-10152,6032,11352,-628,-23275,-3985,200,19,R
-10480,8740,9656,3998,-3808,-4923,250,19,R
-5200,4764,19748,13117,2482,-6902,300,19,R
-6852,7728,14540,-10839,-32768,2397,350,19,R
-9168,7812,4664,2823,-5817,-3316,400,19,R
-6348,5824,12840,7377,17025,-8291,450,19,R
-18884,2796,12008,23698,-1951,-18382,0,20,R
10352,9728,8292,32767,7098,-12704,50,20,R
-13060,-1316,27984,17964,-32768,2353,100,20,R
-21340,1636,5232,-15939,-32768,-5368,150,20,R
-16256,17640,9992,-18980,674,-12613,200,20,R
-8940,10508,19360,32767,9572,-3466,250,20,R
-4988,1484,21572,23555,-12003,-683,300,20,R
-8104,7912,10332,-22437,-32768,6403,350,20,R
-10052,25048,3020,-12994,-25037,4902,400,20,R
-10804,10804,-3116,28534,19380,15821,450,20,R
-1684,13744,9080,2823,-14026,-14885,0,21,R
7184,13696,12248,5906,-20796,-12086,50,21,R
-4076,17884,8844,517,-21220,-4296,100,21,R
304,13820,10180,-1905,-28967,-9514,150,21,R
2104,12084,10340,1804,-26029,-10513,200,21,R
548,22228,13856,7482,-30798,-12100,250,21,R
-1836,16900,10508,9274,-29707,-5932,300,21,R
-5792,18624,5144,11230,-24562,1115,350,21,R
-5284,13548,1768,2983,-23717,4328,400,21,R
-7584,15468,-1844,3207,-10087,2655,450,21,R
2932,6364,15252,-3952,-4186,-11649,0,22,R
3064,7744,16716,-3075,-6575,-11303,50,22,R
3584,7024,15604,-2533,-8786,-10146,100,22,R
4176,6884,14212,-2255,-7938,-12348,150,22,R
7028,6772,15820,-1299,-7849,-13174,200,22,R
4080,8300,15672,-2711,-12267,-12173,250,22,R
4880,9236,14160,-2350,-12862,-13249,300,22,R
-248,13512,12012,606,-7528,-12226,350,22,R
-1820,17320,11104,5628,-2765,-6637,400,22,R
-1068,16432,8176,1684,-3689,1557,450,22,R
4292,12104,9012,-321,28,502,0,23,R
4788,12528,9512,415,7,-165,50,23,R
6436,11172,10844,305,1533,-2376,100,23,R
7036,10476,13016,2780,2398,-10434,150,23,R
7628,10976,14324,1510,-2735,-14553,200,23,R
2740,12852,14292,167,-5931,-13485,250,23,R
-3312,13600,14796,-5316,-19144,-10644,300,23,R
7940,7064,21436,5452,-25537,-17159,350,23,R
1332,10616,16760,-3450,-32768,-12524,400,23,R
-3940,14332,16160,-3624,-32768,-13882,450,23,R
2136,7152,15984,1661,-628,-7221,0,24,R
7428,5796,18312,6741,-7053,-13986,50,24,R
-4412,11528,13532,9500,-3054,-16007,100,24,R
5240,6184,15804,3507,-16276,-15177,150,24,R
496,9388,14060,476,-14240,-16554,200,24,R
4396,9492,13868,4736,-13700,-18477,250,24,R
5668,8220,18384,391,-21152,-13710,300,24,R
-9488,20656,13052,7035,-28825,-16304,350,24,R
-5152,13212,10604,8069,-22318,-15127,400,24,R
-9652,16960,5988,3135,-23018,-6838,450,24,R
-9284,12980,6136,4708,-21988,-2916,0,25,R
-4216,12976,7364,2808,-20660,826,50,25,R
-7640,14764,8024,-3993,-20410,1420,100,25,R
-352,13352,10604,885,-16860,-945,150,25,R
-2528,13328,10524,-1783,-21668,3406,200,25,R
-2336,18324,15844,5851,-31916,6901,250,25,R
4968,13404,12784,19678,-32768,-9638,300,25,R
-7152,15008,3124,9283,-25610,-694,350,25,R
-7056,14084,-576,9646,-8726,-5729,400,25,R
-8196,14520,-924,8435,1755,-5671,450,25,R
-2876,14872,11888,3973,-24198,6341,0,26,R
