-2140,-11940,10844,102,-197,-52,0,480,D
-2096,-11976,10972,176,-110,-135,50,480,D
-2244,-11868,10660,264,-387,56,100,480,D
-2096,-11840,10672,1195,-289,221,150,480,D
-1984,-11892,10416,3734,-968,774,200,480,D
-1988,-11388,10784,10593,-2030,2285,250,480,D
-1852,-10292,10704,19966,-1396,3458,300,480,D
-2108,-7460,12524,30058,-299,3096,350,480,D
-3556,216,17088,28525,-2391,2475,400,480,D
-2680,912,20464,13659,-389,3410,450,480,D
-4528,-12508,8516,3378,-277,3275,0,481,D
-4244,-12288,8652,4023,1027,3639,50,481,D
-5020,-11896,9268,4203,-286,3867,100,481,D
-5420,-10984,9832,3966,182,4000,150,481,D
-7112,-10644,10992,4725,-1593,4351,200,481,D
-4688,-9924,10764,2426,-910,3948,250,481,D
-6792,-9860,10720,3150,-388,3927,300,481,D
-6336,-9284,10480,3757,-108,3880,350,481,D
-7188,-8868,11816,3352,693,3570,400,481,D
-7612,-8024,12132,3112,661,3641,450,481,D
-3100,-7552,14688,10948,591,1082,0,482,D
-3700,-6280,15572,16271,828,2109,50,482,D
-4476,-3036,13664,26675,4053,2375,100,482,D
-4508,1120,15548,28468,590,5856,150,482,D
-3472,3756,16916,23817,-1266,5889,200,482,D
-4264,7696,16884,15848,1411,3628,250,482,D
-4788,7796,16692,8067,2288,1845,300,482,D
-5228,7996,14748,2905,731,248,350,482,D
-4056,7516,12964,328,161,-223,400,482,D
-5292,7488,12920,-1260,1721,-912,450,482,D
-6084,-10608,7772,2355,2713,1094,0,483,D
-7176,-9724,8508,7018,746,2937,50,483,D
-6824,-8860,9648,9165,4264,2582,100,483,D
-8684,-7492,10192,9616,3599,3142,150,483,D
-9944,-6436,10692,9060,3855,2506,200,483,D
-10952,-4740,11688,12662,-106,2612,250,483,D
-10240,-4080,12732,10966,-131,2178,300,483,D
-19528,-1596,15604,4931,-8218,-2911,350,483,D
-10604,-4092,13980,1100,3424,-3745,400,483,D
-9896,-4556,11544,4456,1841,-2220,450,483,D
-5548,-6272,17268,4186,-1366,7638,0,484,L
-6512,-5176,19028,-2525,-7598,11600,50,484,L
-7328,-4872,18664,-7499,-11205,14826,100,484,L
-7168,-3988,16688,-11553,-8746,15821,150,484,L
-8636,-3180,13720,-14292,-5678,16216,200,484,L
-10236,-4420,11092,-16093,-4629,14095,250,484,L
